Name,Assign,Status
[21-05-26] ilakya to handover work to Ana,,Done
[wk1] background reading and understand the core repos and create plans,,Done
[21-05-26] Dom/ilakya/Jamie to onboard Yveta,,Done
"[wk1] fellow setup: API key, repo access, etc.",,Done
[wk1] Ana to curate potential directions for the harnesses/ capabilities investigation,,Done
[9-06-26] working session - discuss timelines and other risks,,Done
[9-06-26] harness definition/ approach → tue-thu,,Done
experiments w react → wed-fri,,Done
presentation fri,,Done
"[16-06-26] papers put together, organise board",,Done
push new commit w the solver package,,Done
[17-06-26] Judge scoring deep dive,Anamaria Leonescu,Done
[17-06-26] Reduce score variance produced by the judge over repeats,Anamaria Leonescu,In progress
[17-06-26] Understand precisely how generate_loop and react differ,Anamaria Leonescu,Done
[18-06-26] Look into deepagent,"Xiaoliang Luo, Anamaria Leonescu",In progress
[17-06-26] Try to match gdpval results across models,Anamaria Leonescu,Done
[18-06-26] Refactor to use native Inspect scoring,Dom Dathan,Done
[23-06-26] analyse failure modes of CoT traces,Anamaria Leonescu,Done
judges traces analysis,Anamaria Leonescu,In progress
,,Not started